district,hospital_num,hospital_bed,doctor_num,nurs_facility,nurs_facility_bed,nurs_facility_emp,endow_insurance_num,medical_care_num,unemploy_num,basic_live_unm,
上海,5 298, 147 249,74 948, 712,144200,,1573.37,1524.82,977.2,,
浦东新区,,,,,,,,,,,
黄浦区,,,,,,,,,,,
徐汇区,,,,,,,,,,,
长宁区,,,,,,,,,,,
静安区,,,,,,,,,,,
普陀区,,,,,,,,,,,
虹口区,,,,,,,,,,,
杨浦区,,,,,,,,,,,
闵行区,,,,,,,,,,,
宝山区,,,,,,,,,,,
嘉定区,,,,,,,,,,,
金山区,,,,,,,,,,,
松江区,,,,,,,,,,,
青浦区,,,,,,,,,,,
奉贤区,,,,,,,,,,,
崇明区,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
