district,crop_species,crop_area,crop_output,
上海,,285.3,4512300,
浦东新区,,,,
黄浦区,,,,
徐汇区,,,,
长宁区,,,,
静安区,,,,
普陀区,,,,
虹口区,,,,
杨浦区,,,,
闵行区,,,,
宝山区,,,,
嘉定区,,,,
金山区,,,,
松江区,,,,
青浦区,,,,
奉贤区,,,,
崇明区,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
农产品,,,,
  粮  食（万吨）（包括大豆）, 174.00, 132.12, 99.78,103.74
  棉  花（万吨） , 0.12, 0.36,,0.01
  油  料（万吨） , 16.37, 2.45, 0.76,0.71
    # 油菜籽, 15.71, 2.14, 0.48,0.54
  蔬  菜（万吨） , 377.00, 374.52, 281.89,284.73
  食用菌（万吨）,, 8.75, 11.61,9.76
  西甜瓜（万吨） , 49.88, 55.49, 19.70,22.2
  园林水果（万吨） , 22.54, 40.83, 24.57,29.54
    # 生  梨 , 1.74, 3.82, 3.18, 3.80
      柑  桔, 10.18, 18.88, 9.38, 10.75
畜禽产品,,,,
  生猪出栏量（万头）, 471.46, 272.92, 189.67, 148.86
  生猪年末圈存量（万头）, 241.60, 175.00, 111.24, 96.48
  奶牛年末头数（万头）, 5.83, 6.97, 6.50, 5.58
  羊年末头数（万头）, 55.44, 19.46, 19.56, 13.72
  猪  肉（万吨） , 25.96, 18.34, 14.57, 11.27
  牛羊肉（万吨） , 0.79, 0.43, 0.48, 0.28
  家禽出栏量（万羽）,17 213,3 994,1 273, 984
  生牛奶（万吨） , 25.95, 25.08, 36.37, 33.44
  禽  蛋（万吨） , 16.64, 6.01, 3.38, 3.16
水产品, 28.87, 27.28, 29.54, 30.85
  海水产品（万吨） , 12.23, 12.15, 14.52, 16.84
  淡水产品（万吨） , 16.64, 15.13, 15.02, 14.01
,,,,451.23
