district,financial,fiscal_expend,toatl_import,total_export,total_output,per_output,total_employ,,,
上海, 3 746.15, 5 559.72,3 084.79,2 071.70,32 679.87,134 982,1 375.66,,,
浦东新区, 1 066.20, 1 305.51,,,,,,,,
黄浦区,  225.00,  279.66,,,,,,,,
徐汇区,  193.52,  231.29,,,,,,,,
长宁区,  162.84,  192.09,,,,,,,,
静安区,  246.83,  370.55,,,,,,,,
普陀区,  114.05,  203.61,,,,,,,,
虹口区,  116.75,  184.67,,,,,,,,
杨浦区,  126.71,  230.53,,,,,,,,
闵行区,  296.80,  408.63,,,,,,,,
宝山区,  160.45,  301.61,,,,,,,,
嘉定区,  269.92,  391.45,,,,,,,,
金山区,  124.63,  241.66,,,,,,,,
松江区,  204.38,  345.09,,,,,,,,
青浦区,  203.10,  333.54,,,,,,,,
奉贤区,  151.20,  272.83,,,,,,,,
崇明区,  83.77,  267.01,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,地  区,一般公共预算收入,,,,一般公共预算支出,,,
,,,2010,2015,2017,2018,2010,2015,2017,2018
,,总  计, 1 480.35, 2 713.37, 3 485.43, 3 746.15, 1 955.58, 3 858.09, 5 335.81, 5 559.72
,,  浦东新区,  425.40,  788.19,  996.26, 1 066.20,  524.06,  920.22, 1 257.69, 1 305.51
,,  黄浦区,  64.36,  180.88,  212.21,  225.00,  80.73,  207.41,  263.45,  279.66
,,  徐汇区,  90.43,  151.08,  186.02,  193.52,  99.29,  173.32,  264.52,  231.29
,,  长宁区,  72.08,  129.94,  154.28,  162.84,  85.50,  143.80,  183.92,  192.09
,,  静安区,  65.96,  106.24,  232.80,  246.83,  71.43,  158.52,  312.17,  370.55
,,  普陀区,  51.97,  96.36,  108.10,  114.05,  78.57,  124.41,  174.46,  203.61
,,  虹口区,  48.36,  90.14,  110.11,  116.75,  74.52,  126.82,  173.45,  184.67
,,  杨浦区,  50.07,  95.77,  119.52,  126.71,  82.65,  162.76,  206.18,  230.53
,,  闵行区,  125.30,  214.40,  278.71,  296.80,  156.60,  344.25,  416.06,  408.63
,,  宝山区,  70.35,  127.08,  151.11,  160.45,  114.43,  219.23,  271.83,  301.61
,,  嘉定区,  82.96,  191.36,  252.26,  269.92,  112.84,  297.24,  370.74,  391.45
,,  金山区,  30.75,  65.50,  108.36,  124.63,  70.98,  145.18,  234.39,  241.66
,,  松江区,  77.33,  123.11,  192.56,  204.38,  103.55,  194.30,  288.84,  345.09
,,  青浦区,  58.95,  125.33,  188.01,  203.10,  88.40,  179.89,  383.95,  333.54
,,  奉贤区,  40.43,  84.89,  128.11,  151.20,  77.12,  168.18,  312.72,  272.83
,,  崇明区,  28.04,  54.98,  67.00,  83.77,  78.21,  163.39,  221.45,  267.01
