district,industry ,industry_eng,output_value ,total_employ
北京,一，二，三,"first,second,third ",30320,1237.8
东城区,二，三,"second,third ",2426,
西城区,二，三,"second,third ",4244,
朝阳区,一，二，三,"first,second,third ",6094,
丰台区,一，二，三,"first,second,third ",1551,
石景山区,二，三,"second,third ",585,
海淀区,一，二，三,"first,second,third ",6480,
门头沟区,一，二，三,"first,second,third ",188,
房山区,一，二，三,"first,second,third ",762,
通州区,一，二，三,"first,second,third ",832,
顺义区,一，二，三,"first,second,third ",1864,
昌平区,一，二，三,"first,second,third ",902,
大兴区,一，二，三,"first,second,third ",700,
怀柔区,一，二，三,"first,second,third ",309,
平谷区,一，二，三,"first,second,third ",251,
密云区,一，二，三,"first,second,third ",300,
延庆区,一，二，三,"first,second,third ",152,
