district,school_num,student_num,enter_num,gra_num,teacher_num,school_type,school_type_eng
北京,1614,1347665,332678,245933,123429,普通高中，小学,
东城区,102,94919,23675,18347,10483,普通高中，小学,
西城区,100,131152,34144,23586,11653,普通高中，小学,
朝阳区,177,191333,45943,29313,18375,普通高中，小学,
丰台区,122,87255,20134,15264,8627,普通高中，小学,
石景山区,51,33942,8037,6688,3409,普通高中，小学,
海淀区,163,270538,66041,52172,19185,普通高中，小学,
门头沟区,39,19328,4964,3683,1857,普通高中，小学,
房山区,157,77216,19503,14035,6731,普通高中，小学,
通州区,125,92863,23021,15654,7704,普通高中，小学,
顺义区,82,74709,18746,14176,6860,普通高中，小学,
昌平区,143,75281,18898,14299,8150,普通高中，小学,
大兴区,132,85593,21471,15312,7931,普通高中，小学,
怀柔区,45,26602,6589,5160,3032,普通高中，小学,
平谷区,65,29168,7313,6054,3342,普通高中，小学,
密云区,62,36812,9123,7631,3505,普通高中，小学,
延庆区,49,20954,5076,4559,2585,普通高中，小学,
