,Unnamed: 0,district,hospital_num,hospital_bed,doctor_num,nurs_facility,nurs_facility_bed,nurs_facility_emp,endow_insurance_num,medical_care_num,unemploy_num,basic_live_unm,school_num,student_num,enter_num,gra_num,teacher_num,school_type,school_type_eng,crop_species,crop_area,crop_output,industry ,industry_eng,output_value ,total_employ,p_num,urban_num,rural_num,house_num,male_num,female_num,young_num,old_num,birth_num,death_num,natural_num,land_area (通过常住人口密度和常住人口数量不精确计算),financial,fiscal_expend,toatl_import,total_export,total_output,per_output,total_employ.1,rural_dis_income,urban_dis_income,rural_per_consum,urban_per_consum,cpi,pass_transport,goods_transport,total_water_resource,total_water_supply,per_water_consum,annual_elec_consum,crop_area.1,effec_irrig_area,year,month of 2018,avg-precipitation,avg-temperature,avg-sunshine,City_code
0,0,北京,11100,123508,109376,503,98889,15383,1591.5,1628.9,1241,105016,1614,1347665,332678,245933,123429,普通高中，小学,999998765.4,999998765.4,106266,5436368.186,一，二，三,"first,second,third ",30320,1237.8,2154.2,0.865007892,0.134992108,5488000,1095.6,1107.4,999998765.4,25.60732665,8.24,5.58,2.66,16406.70221,5786,7471.4332,22303.9,4878.5,30319.98,30319.98,1237.8,999998765.4,67990,999998765.4,42926,102.5,2220,780.7,35.5,39.3,164,1038,106.27,999998765.4,2018,1,0,-3.2,205.4,1
1,1,东城区,554,9947,9817,999998765.4,999998765.4,999998765.4,148.2,163,115.7103,10087,102,94919,23675,18347,10483,普通高中，小学,999998765.4,999998765.4,999998765.4,999998765.4,二，三,"second,third ",2426,999998765.4,82.2,1,0,347000,39.5,41,999998765.4,999998765.4,7.7,7.64,0.06,41.85975454,176,251.5731,999998765.4,999998765.4,2425.6745,2425.6745,999998765.4,999998765.4,75547,999998765.4,49026,999998765.4,999998765.4,999998765.4,999998765.4,999998765.4,999998765.4,48.0538886,999998765.4,999998765.4,999998765.4,2,0,-0.9,206,3101
2,2,西城区,695,16368,13121,999998765.4,999998765.4,999998765.4,195.5,213.8,144.6468,12839,100,131152,34144,23586,11653,普通高中，小学,999998765.4,999998765.4,999998765.4,999998765.4,二，三,"second,third ",4244,999998765.4,117.9,1,0,493000,56.6,59,999998765.4,999998765.4,7.44,6.61,0.83,50.52929328,431,429.7074,999998765.4,999998765.4,4243.8565,4243.8565,999998765.4,999998765.4,81678,999998765.4,49642,999998765.4,999998765.4,999998765.4,999998765.4,999998765.4,999998765.4,56.15858612,999998765.4,999998765.4,999998765.4,3,4.1,8.3,218.8,3102
3,3,朝阳区,1641,23669,21167,999998765.4,999998765.4,999998765.4,348.9,370.9,269.1487,11670,177,191333,45943,29313,18375,普通高中，小学,999998765.4,999998765.4,145,2759.8,一，二，三,"first,second,third ",6094,999998765.4,360.5,0.99889043,0.00110957,844000,182,190.1,999998765.4,999998765.4,9.22,5.5,3.72,455.0618531,534,563.2186,999998765.4,999998765.4,6093.5117,6093.5117,999998765.4,999998765.4,70746,999998765.4,44849,999998765.4,999998765.4,999998765.4,999998765.4,999998765.4,999998765.4,187.05,0.14,999998765.4,999998765.4,4,47.5,15.7,229.3,3105
4,4,丰台区,527,12317,9158,999998765.4,999998765.4,999998765.4,98.3,106.6,71.6066,9304,122,87255,20134,15264,8627,普通高中，小学,999998765.4,999998765.4,172,5721.89,一，二，三,"first,second,third ",1551,999998765.4,210.5,0.998099762,0.001900238,483000,106.2,110.7,999998765.4,999998765.4,5.97,5.7,0.27,305.7815224,122,247.7544,152.5,47.7,1551.055,1551.055,999998765.4,999998765.4,60144,999998765.4,40927,999998765.4,999998765.4,999998765.4,999998765.4,999998765.4,999998765.4,87.67,0.17,999998765.4,999998765.4,5,9.3,22.3,227.8,3106
5,5,石景山区,233,4770,3113,999998765.4,999998765.4,999998765.4,46.1,49.5,30.2848,7164,51,33942,8037,6688,3409,普通高中，小学,999998765.4,999998765.4,999998765.4,999998765.4,二，三,"second,third ",585,999998765.4,59,1,0,151000,29.6,30.7,999998765.4,999998765.4,6.82,6.78,0.04,84.32185222,62,124.5731,999998765.4,999998765.4,584.5964,584.5964,999998765.4,999998765.4,71244,999998765.4,43286,999998765.4,999998765.4,999998765.4,999998765.4,999998765.4,999998765.4,20.1,999998765.4,999998765.4,999998765.4,6,35.4,27.1,226.9,3107
6,6,海淀区,1182,13261,13182,999998765.4,999998765.4,999998765.4,285.8,313.4,243.1128,5189,163,270538,66041,52172,19185,普通高中，小学,999998765.4,999998765.4,1115,28671.35,一，二，三,"first,second,third ",6480,999998765.4,335.8,0.988088148,0.011911852,743000,171.6,179.4,999998765.4,999998765.4,8.46,4.46,4,430.7337096,446,659.3246,240.1,142.9,6479.5017,6479.5017,999998765.4,999998765.4,78178,999998765.4,52910,999998765.4,999998765.4,999998765.4,999998765.4,999998765.4,999998765.4,145.9,1.11,999998765.4,999998765.4,7,309.1,28,159.1,3108
7,7,门头沟区,257,2990,1263,999998765.4,999998765.4,999998765.4,23.2,23.9,16.0199,6212,39,19328,4964,3683,1857,普通高中，小学,999998765.4,999998765.4,1433,5261.785,一，二，三,"first,second,third ",188,999998765.4,33.1,0.891238671,0.108761329,121000,16.6,16.2,999998765.4,999998765.4,7.95,7.59,0.36,1451.754386,32,106.3385,999998765.4,999998765.4,188.0605,188.0605,999998765.4,999998765.4,53227,999998765.4,36063,999998765.4,999998765.4,999998765.4,999998765.4,999998765.4,999998765.4,11.87,1.43,999998765.4,999998765.4,8,109.5,27.8,187.3,3109
8,8,房山区,1007,6329,3945,999998765.4,999998765.4,999998765.4,38.8,42.2,29.5583,6010,157,77216,19503,14035,6731,普通高中，小学,999998765.4,999998765.4,13458,427514.304,一，二，三,"first,second,third ",762,999998765.4,118.8,0.745791246,0.254208754,394000,60.2,58.6,999998765.4,999998765.4,9.09,6.53,2.56,1989.949749,65,258.7255,999998765.4,999998765.4,761.7824,761.7824,999998765.4,999998765.4,46503,999998765.4,28337,999998765.4,999998765.4,999998765.4,999998765.4,999998765.4,999998765.4,70.5,13.46,999998765.4,999998765.4,9,25.4,21.4,214.2,3111
9,9,通州区,616,3802,3789,999998765.4,999998765.4,999998765.4,55.4,55.1,43.5167,4590,125,92863,23021,15654,7704,普通高中，小学,999998765.4,999998765.4,10195,599225.185,一，二，三,"first,second,third ",832,999998765.4,157.8,0.67617237,0.32382763,397000,81.5,78,999998765.4,999998765.4,8.71,4.92,3.79,906.3756462,83,405.4044,999998765.4,999998765.4,832.4115,832.4115,999998765.4,999998765.4,48682,999998765.4,34361,999998765.4,999998765.4,999998765.4,999998765.4,999998765.4,999998765.4,67,10.2,999998765.4,999998765.4,10,4.4,13,244.2,3112
